Number,Title,Artist,Year,Division,Women,POC
298,Con Todo El Mundo,Khruangbin,2018,D1,y,y
299,Journey in Satchidananda,Alice Coltrane,1971,D2,y,y
300,Everybody Digs Bill Evans,Bill Evans,1959,D1,n,n
301,Undercurrent,Bill Evans,1962,D2,n,n
302,Virgo Fool,Hiss Golden Messenger,2018,D2,n,n
303,Disraeli Gears,Cream,1967,D1,n,n
304,2014 Forest Hills Drive,J Cole,2014,D1,n,y
305,Nothing Was the Same,Drake,2013,D1,n,y
306,How I'm Feeling,LAUV,2020,D3,n,n
307,Songs About Jane,Maroon 5,2002,D1,n,n
308,Chief,Eric Church,2011,D1,n,n
309,Born in the USA,Bruce Springsteen and the E Street Band,1984,D1,n,y
310,New York,Lou Reed,1989,D1,n,n
311,The Universe Smile Upon You,Khruangbin,2015,D1,y,y
312,Duke Ellington and John Coltrane,Duke Ellington and John Coltrane,1963,D1,n,y
313,Blue and Sentimental,Ike Quebec,1963,D1,n,y
314,Theory of Everything,Johann Johannsson ,2014,D1,n,n
315,Orpheé,Johann Johannsson ,2016,D2,n,n
316,Conversations,Stanton Moore,2014,D2,n,n
317,Instrumentals,Adrienne Lenker,2020,D2,y,n
318,New Vanitas,William Tyler,2020,D2,n,n
319,Let's Dance Away and Hide Away,Freddie King,1961,D1,n,y
320,Truckin' with Albert Collins,Albert Collins,1969,D1,n,y
321,Cold Snap,Albert Collins,1986,D2,n,y
322,Vintage Machine,Jackie Venson,2020,D3,y,y
323,Link Wray,Link Wray,1971,D1,n,y
